text,category
Payment failed but the money was deducted after the latest update?,Billing
I'm not receiving the 2FA code this week?,Account Access
Wi‑Fi keeps dropping on multiple devices today.,Technical Issue
Which features are included in the standard plan? this week.,General Inquiry
can i get a copy of last month's invoice? — please advise.,Billing
Forgot my phone number and need access on my laptop and phone.,Account Access
I'm getting error code E401 on login after the latest update.,Technical Issue
I want to cancel my subscription before renewal on my laptop and phone.,Billing
Can I get a copy of last month's invoice? — any quick fix?,Billing
The app crashes when I try to open settings today.,Technical Issue
How do business accounts work for teams? since this morning.,General Inquiry
Speed is very slow compared to my plan thanks.,Technical Issue
Certain ports appear to be blocked on my network since this morning.,Technical Issue
I need to verify my account to sign in — any quick fix?,Account Access
How can I change my email address? asap please?,Account Access
What are your customer support hours? for my account.,General Inquiry
My router keeps disconnecting every few minutes since this morning.,Technical Issue
How do business accounts work for teams? since this morning.,General Inquiry
My promo code didn't apply at checkout after the latest update.,Billing
How long does installation usually take? after the latest update.,General Inquiry
How do I update the router firmware? for my account?,Technical Issue
I want to deactivate my account — any quick fix?,Account Access
Forgot my username and need access — please advise.,Account Access
How do I update my card details? after the latest update.,Billing
i was charged twice for my subscription — any quick fix?,Billing
Why does my session keep expiring so fast? after the latest update.,Account Access
When does my billing cycle start and end? since this morning.,Billing
Please issue a refund for the mistaken charge this week.,Billing
Payment failed but the money was deducted this week.,Billing
How do I reset my security? after the latest update.,Account Access
I'm getting error code APP-19 on login — please advise.,Technical Issue
Do you support international roaming? since this morning.,General Inquiry
Is service available at my address in Darwin?,General Inquiry
Can you provide a credit note for the overcharge? on my laptop and phone.,Billing
What are the prices and data limits for each plan? after the latest update.,General Inquiry
How do I update my card details? thanks.,Billing
Payment failed but the money was deducted after the latest update.,Billing
Pages won't load—could it be a DNS problem? — any quick fix?,Technical Issue
Is service available at my address in Newcastle? on my laptop and phone.,General Inquiry
the app crashes when i try to open settings thanks?,Technical Issue
High latency during video calls since yesterday asap please.,Technical Issue
i'm getting error code e403 on login since this morning.,Technical Issue
How do I change my plan without extra charges? thanks.,Billing
my promo code didn't apply at checkout — please advise.,Billing
Is there a free trial I can test first? for my account.,General Inquiry
Please help me update my registered username today.,Account Access
Experiencing packet loss while gaming?,Technical Issue
I got locked out after too many attempts this week.,Account Access
I need to verify my account to sign in — any quick fix?,Account Access
When does my billing cycle start and end? on my laptop and phone.,Billing
My promo code didn't apply at checkout for my account.,Billing
i was charged twice for my subscription since this morning?,Billing
Please issue a refund for the mistaken charge on my laptop and phone.,Billing
How do I change my plan without extra charges? after the latest update.,Billing
My router keeps disconnecting every few minutes asap please.,Technical Issue
How do business accounts work for teams? today.,General Inquiry
I want to cancel my subscription before renewal after the latest update.,Billing
Please help me update my registered phone number since this morning.,Account Access
How do I change my plan without extra charges? asap please.,Billing
I need to verify my account to sign in this week?,Account Access
How can I change my email address? since this morning.,Account Access
I need to verify my account to sign in this week.,Account Access
What are your customer support hours? for my account.,General Inquiry
do you offer a student discount?,General Inquiry
Internet is not working in my area on my laptop and phone?,Technical Issue
I want to deactivate my account this week.,Account Access
Speed is very slow compared to my plan?,Technical Issue
How do I change my plan without extra charges? thanks?,Billing
The app crashes when I try to open settings,Technical Issue
Login keeps failing with an 'invalid credentials' message,Account Access
Which features are included in the standard plan? today.,General Inquiry
My router keeps disconnecting every few minutes since this morning?,Technical Issue
I need a tax invoice with ABN for my records — any quick fix?,Billing
What are the prices and data limits for each plan? this week.,General Inquiry
Pages won't load—could it be a DNS problem? for my account.,Technical Issue
Why does my session keep expiring so fast? since this morning.,Account Access
Experiencing packet loss while gaming asap please.,Technical Issue
Payment failed but the money was deducted today.,Billing
what are your customer support hours? after the latest update.,General Inquiry
I cannot log in to my account — please advise.,Account Access
Is there a free trial I can test first? on my laptop and phone.,General Inquiry
I was charged twice for my subscription this week.,Billing
My router keeps disconnecting every few minutes — any quick fix?,Technical Issue
When does my billing cycle start and end? today.,Billing
High latency during video calls since yesterday — please advise.,Technical Issue
Wi‑Fi keeps dropping on multiple devices for my account.,Technical Issue
Can you provide a credit note for the overcharge? since this morning.,Billing
when does my billing cycle start and end? this week.,Billing
Please help me update my registered phone number,Account Access
How do I update my card details?,Billing
Is service available at my address in Melbourne? — please advise.,General Inquiry
Which features are included in the standard plan?,General Inquiry
How do I update the router firmware? asap please.,Technical Issue
What are the prices and data limits for each plan? since this morning.,General Inquiry
Why does my session keep expiring so fast? for my account.,Account Access
How do I update the router firmware? on my laptop and phone?,Technical Issue
Pages won't load—could it be a DNS problem? today.,Technical Issue
Payment failed but the money was deducted thanks.,Billing
My password isn't working and I can't sign in,Account Access
is there an outage in melbourne? asap please.,Technical Issue
I got locked out after too many attempts today.,Account Access
Can I get a copy of last month's invoice? for my account.,Billing
Experiencing packet loss while gaming asap please.,Technical Issue
How do business accounts work for teams? this week.,General Inquiry
what are your customer support hours? for my account.,General Inquiry
My router keeps disconnecting every few minutes after the latest update?,Technical Issue
Can I get a copy of last month's invoice? on my laptop and phone.,Billing
I want to know about your plans since this morning.,General Inquiry
High latency during video calls since yesterday,Technical Issue
Speed is very slow compared to my plan since this morning.,Technical Issue
Can you provide a credit note for the overcharge? after the latest update.,Billing
High latency during video calls since yesterday asap please.,Technical Issue
I want to know about your plans thanks.,General Inquiry
why does my session keep expiring so fast?,Account Access
Please help me update my registered security,Account Access
How do I change my plan without extra charges? today.,Billing
I got locked out after too many attempts after the latest update.,Account Access
Speed is very slow compared to my plan,Technical Issue
I cannot log in to my account today.,Account Access
Experiencing packet loss while gaming for my account.,Technical Issue
My router keeps disconnecting every few minutes since this morning.,Technical Issue
I'm not receiving the OTP code this week.,Account Access
I want to know about your plans for my account.,General Inquiry
High latency during video calls since yesterday?,Technical Issue
wi‑fi keeps dropping on multiple devices — any quick fix?,Technical Issue
Is there an outage in Adelaide? on my laptop and phone.,Technical Issue
Is service available at my address in Perth? for my account.,General Inquiry
Is there an outage in Darwin? this week.,Technical Issue
I cannot log in to my account for my account.,Account Access
Do you have coverage in Gold Coast? thanks.,General Inquiry
I want to cancel my subscription before renewal this week.,Billing
I cannot log in to my account asap please?,Account Access
How do business accounts work for teams? on my laptop and phone.,General Inquiry
I was charged twice for my subscription,Billing
My router keeps disconnecting every few minutes after the latest update.,Technical Issue
Do you support international roaming?,General Inquiry
Payment failed but the money was deducted after the latest update.,Billing
How do I change my plan without extra charges? — any quick fix?,Billing
What are your customer support hours? after the latest update.,General Inquiry
Please issue a refund for the mistaken charge thanks.,Billing
Is service available at my address in Melbourne? after the latest update.,General Inquiry
Do you have coverage in Sydney?,General Inquiry
Wi‑Fi keeps dropping on multiple devices since this morning.,Technical Issue
Wi‑Fi keeps dropping on multiple devices on my laptop and phone.,Technical Issue
How long does installation usually take?,General Inquiry
i was charged twice for my subscription,Billing
What are the contract terms—month‑to‑month or annual? — please advise.,General Inquiry
pages won't load—could it be a dns problem? since this morning.,Technical Issue
My router keeps disconnecting every few minutes — any quick fix?,Technical Issue
How do business accounts work for teams? thanks.,General Inquiry
I want to cancel my subscription before renewal after the latest update.,Billing
When does my billing cycle start and end? — please advise.,Billing
Is there a free trial I can test first? after the latest update.,General Inquiry
Is there a free trial I can test first? since this morning.,General Inquiry
How do I update the router firmware? for my account.,Technical Issue
How do I update the router firmware? today.,Technical Issue
Do you have coverage in Sydney? — please advise.,General Inquiry
I'm getting error code E403 on login since this morning.,Technical Issue
is service available at my address in brisbane? after the latest update.,General Inquiry
I need a tax invoice with ABN for my records since this morning.,Billing
Do you offer a student discount? thanks.,General Inquiry
How can I change my email address? on my laptop and phone.,Account Access
my promo code didn't apply at checkout,Billing
Do you offer a student discount? thanks?,General Inquiry
What are the contract terms—month‑to‑month or annual? this week.,General Inquiry
What are the contract terms—month‑to‑month or annual? for my account.,General Inquiry
My invoice is incorrect for this month since this morning.,Billing
When does my billing cycle start and end? on my laptop and phone.,Billing
How do I change my plan without extra charges? thanks.,Billing
The app crashes when I try to open settings this week.,Technical Issue
My router keeps disconnecting every few minutes for my account.,Technical Issue
Is service available at my address in Canberra? — please advise.,General Inquiry
Can you provide a credit note for the overcharge? on my laptop and phone.,Billing
Speed is very slow compared to my plan,Technical Issue
Do you offer a student discount? after the latest update.,General Inquiry
Can you provide a credit note for the overcharge? on my laptop and phone?,Billing
I need to reactivate my account after the latest update.,Account Access
Experiencing packet loss while gaming for my account?,Technical Issue
Which features are included in the standard plan? for my account.,General Inquiry
I want to deactivate my account — please advise.,Account Access
What are the contract terms—month‑to‑month or annual? this week.,General Inquiry
my phone number isn't working and i can't sign in for my account.,Account Access
high latency during video calls since yesterday — any quick fix?,Technical Issue
which features are included in the standard plan? for my account?,General Inquiry
The app crashes when I try to open settings asap please.,Technical Issue
Can I get a copy of last month's invoice? on my laptop and phone.,Billing
Is there a free trial I can test first?,General Inquiry
I need to verify my account to sign in — any quick fix?,Account Access
How do I change my plan without extra charges? thanks.,Billing
What are your customer support hours? — any quick fix?,General Inquiry
What are the contract terms—month‑to‑month or annual? since this morning.,General Inquiry
Please help me update my registered OTP after the latest update.,Account Access
I want to deactivate my account asap please.,Account Access
Can I get a copy of last month's invoice? thanks.,Billing
high latency during video calls since yesterday — any quick fix?,Technical Issue
payment failed but the money was deducted,Billing
I want to cancel my subscription before renewal on my laptop and phone.,Billing
Why does my session keep expiring so fast? — please advise.,Account Access
The app crashes when I try to open settings today.,Technical Issue
Which features are included in the standard plan? since this morning.,General Inquiry
Do you support international roaming? after the latest update.,General Inquiry
I want to cancel my subscription before renewal after the latest update.,Billing
How long does installation usually take?,General Inquiry
My security isn't working and I can't sign in — any quick fix?,Account Access
Do you have coverage in Perth? today?,General Inquiry
How can I change my email address? since this morning.,Account Access
I want to know about your plans after the latest update.,General Inquiry
I want to deactivate my account,Account Access
How do I update my card details? for my account.,Billing
Pages won't load—could it be a DNS problem? this week.,Technical Issue
Do you have coverage in Canberra? since this morning.,General Inquiry
I need to reactivate my account asap please?,Account Access
I want to cancel my subscription before renewal this week.,Billing
What are the contract terms—month‑to‑month or annual? asap please.,General Inquiry
how do i reset my phone number? this week.,Account Access
i need to verify my account to sign in — any quick fix?,Account Access
Is there an outage in Darwin? on my laptop and phone.,Technical Issue
Speed is very slow compared to my plan on my laptop and phone.,Technical Issue
Pages won't load—could it be a DNS problem? today.,Technical Issue
What are your customer support hours? this week.,General Inquiry
I need to verify my account to sign in this week.,Account Access
My invoice is incorrect for this month on my laptop and phone.,Billing
How do I change my plan without extra charges? since this morning.,Billing
Why does my session keep expiring so fast? this week.,Account Access
Do you support international roaming? asap please.,General Inquiry
Experiencing packet loss while gaming — please advise.,Technical Issue
how do i reset my phone number? asap please.,Account Access
Why does my session keep expiring so fast? asap please.,Account Access
I want to deactivate my account asap please.,Account Access
Forgot my OTP and need access on my laptop and phone?,Account Access
I need to reactivate my account this week.,Account Access
I'm not receiving the security code asap please.,Account Access
I need to verify my account to sign in thanks.,Account Access
I need a tax invoice with ABN for my records since this morning.,Billing
Please issue a refund for the mistaken charge thanks.,Billing
I was charged twice for my subscription since this morning.,Billing
I'm not receiving the 2FA code — please advise.,Account Access
I want to cancel my subscription before renewal,Billing
I want to cancel my subscription before renewal for my account?,Billing
Can I get a copy of last month's invoice? after the latest update.,Billing
I'm getting error code E500 on login thanks.,Technical Issue
How do I update my card details? asap please.,Billing
my promo code didn't apply at checkout — please advise?,Billing
How long does installation usually take? for my account.,General Inquiry
Do you support international roaming? this week.,General Inquiry
What are the contract terms—month‑to‑month or annual? — please advise.,General Inquiry
Speed is very slow compared to my plan asap please.,Technical Issue
Do you support international roaming? on my laptop and phone.,General Inquiry
I need to verify my account to sign in for my account?,Account Access
Is service available at my address in Melbourne?,General Inquiry
Do you support international roaming? — please advise.,General Inquiry
Is there a free trial I can test first? — any quick fix?,General Inquiry
How do I change my plan without extra charges? since this morning?,Billing
I got locked out after too many attempts — please advise?,Account Access
I cannot log in to my account on my laptop and phone.,Account Access
How do I update the router firmware? today.,Technical Issue
Experiencing packet loss while gaming — please advise.,Technical Issue
My 2FA isn't working and I can't sign in — please advise.,Account Access
Forgot my username and need access — please advise.,Account Access
How do I update the router firmware? since this morning.,Technical Issue
I cannot log in to my account — any quick fix?,Account Access
Why does my session keep expiring so fast? since this morning.,Account Access
what are your customer support hours? — any quick fix?,General Inquiry
How can I change my email address? after the latest update.,Account Access
Wi‑Fi keeps dropping on multiple devices,Technical Issue
How long does installation usually take? today.,General Inquiry
Why does my session keep expiring so fast? asap please.,Account Access
Is there an outage in Brisbane? this week.,Technical Issue
Is there an outage in Melbourne? this week?,Technical Issue
Do you offer a student discount? asap please.,General Inquiry
Pages won't load—could it be a DNS problem? this week.,Technical Issue
How do I reset my username? this week?,Account Access
I need to reactivate my account for my account.,Account Access
Certain ports appear to be blocked on my network this week.,Technical Issue
What are the contract terms—month‑to‑month or annual? for my account.,General Inquiry
I'm getting error code NET-21 on login thanks.,Technical Issue
Payment failed but the money was deducted after the latest update.,Billing
Certain ports appear to be blocked on my network,Technical Issue
Do you offer a student discount? this week.,General Inquiry
How do I update my card details? asap please.,Billing
I need a tax invoice with ABN for my records on my laptop and phone?,Billing
What are your customer support hours? since this morning.,General Inquiry
Please help me update my registered OTP thanks?,Account Access
I need to verify my account to sign in for my account?,Account Access
How do I change my plan without extra charges? on my laptop and phone?,Billing
My 2FA isn't working and I can't sign in this week.,Account Access
My invoice is incorrect for this month — any quick fix?,Billing
How do I change my plan without extra charges? today.,Billing
How do I update my card details? — please advise.,Billing
Login keeps failing with an 'invalid credentials' message — any quick fix?,Account Access
What are the contract terms—month‑to‑month or annual? asap please.,General Inquiry
The app crashes when I try to open settings this week.,Technical Issue
The app crashes when I try to open settings this week.,Technical Issue
How long does installation usually take? today.,General Inquiry
How can I change my email address? — any quick fix?,Account Access
What are your customer support hours? — any quick fix?,General Inquiry
I want to cancel my subscription before renewal today.,Billing
Certain ports appear to be blocked on my network,Technical Issue
I cannot log in to my account thanks.,Account Access
Login keeps failing with an 'invalid credentials' message since this morning.,Account Access
Login keeps failing with an 'invalid credentials' message?,Account Access
What are your customer support hours? for my account?,General Inquiry
I was charged twice for my subscription this week.,Billing
Is service available at my address in Darwin? after the latest update.,General Inquiry
How do I change my plan without extra charges? after the latest update.,Billing
I want to deactivate my account on my laptop and phone.,Account Access
Do you offer a student discount? today.,General Inquiry
How do I change my plan without extra charges? for my account?,Billing
When does my billing cycle start and end? thanks.,Billing
Certain ports appear to be blocked on my network asap please.,Technical Issue
The app crashes when I try to open settings — please advise.,Technical Issue
What are your customer support hours?,General Inquiry
Why does my session keep expiring so fast? asap please.,Account Access
I need to reactivate my account,Account Access
When does my billing cycle start and end? — please advise?,Billing
is there an outage in melbourne? for my account.,Technical Issue
my password isn't working and i can't sign in today.,Account Access
Please issue a refund for the mistaken charge on my laptop and phone.,Billing
Please issue a refund for the mistaken charge thanks?,Billing
The app crashes when I try to open settings on my laptop and phone.,Technical Issue
I need to verify my account to sign in for my account.,Account Access
What are your customer support hours? since this morning.,General Inquiry
i'm not receiving the 2fa code?,Account Access
I need to verify my account to sign in,Account Access
I cannot log in to my account after the latest update.,Account Access
The app crashes when I try to open settings today.,Technical Issue
I'm not receiving the phone number code asap please.,Account Access
Do you support international roaming? for my account.,General Inquiry
I was charged twice for my subscription,Billing
i cannot log in to my account this week.,Account Access
I want to deactivate my account,Account Access
My router keeps disconnecting every few minutes after the latest update.,Technical Issue
How do I reset my security? today.,Account Access
Please issue a refund for the mistaken charge asap please.,Billing
How do I update the router firmware?,Technical Issue
Forgot my security and need access for my account.,Account Access
How do I change my plan without extra charges? today.,Billing
How can I change my email address?,Account Access
Internet is not working in my area since this morning.,Technical Issue
Please issue a refund for the mistaken charge since this morning.,Billing
My promo code didn't apply at checkout this week.,Billing
I got locked out after too many attempts asap please.,Account Access
How do I update my card details? — any quick fix?,Billing
What are the prices and data limits for each plan? this week.,General Inquiry
Login keeps failing with an 'invalid credentials' message — please advise.,Account Access
I want to know about your plans on my laptop and phone?,General Inquiry
Do you have coverage in Perth? on my laptop and phone?,General Inquiry
How do I reset my password? today.,Account Access
Is there an outage in Adelaide? on my laptop and phone?,Technical Issue
I'm getting error code APP-19 on login thanks.,Technical Issue
Which features are included in the standard plan? — any quick fix?,General Inquiry
Speed is very slow compared to my plan thanks.,Technical Issue
My promo code didn't apply at checkout thanks?,Billing
My promo code didn't apply at checkout after the latest update.,Billing
How do I reset my password?,Account Access
Why does my session keep expiring so fast? on my laptop and phone?,Account Access
Speed is very slow compared to my plan on my laptop and phone.,Technical Issue
Do you have coverage in Darwin? asap please.,General Inquiry
Please help me update my registered security today.,Account Access
How do I change my plan without extra charges?,Billing
Internet is not working in my area — any quick fix?,Technical Issue
Forgot my OTP and need access on my laptop and phone?,Account Access
I cannot log in to my account for my account.,Account Access
Internet is not working in my area,Technical Issue
I need to verify my account to sign in for my account.,Account Access
My security isn't working and I can't sign in this week.,Account Access
Can you provide a credit note for the overcharge? after the latest update.,Billing
Do you offer a student discount? on my laptop and phone.,General Inquiry
How can I change my email address? asap please.,Account Access
My invoice is incorrect for this month on my laptop and phone.,Billing
What are the prices and data limits for each plan? asap please.,General Inquiry
Can you provide a credit note for the overcharge? for my account.,Billing
Can I get a copy of last month's invoice?,Billing
The app crashes when I try to open settings thanks.,Technical Issue
Is there an outage in Adelaide?,Technical Issue
Please issue a refund for the mistaken charge thanks.,Billing
which features are included in the standard plan? — any quick fix?,General Inquiry
When does my billing cycle start and end?,Billing
My OTP isn't working and I can't sign in — please advise.,Account Access
High latency during video calls since yesterday,Technical Issue
payment failed but the money was deducted asap please.,Billing
Internet is not working in my area since this morning.,Technical Issue
How do I update the router firmware?,Technical Issue
I need to reactivate my account,Account Access
How do I reset my phone number? asap please.,Account Access
The app crashes when I try to open settings — any quick fix?,Technical Issue
Wi‑Fi keeps dropping on multiple devices — please advise.,Technical Issue
Login keeps failing with an 'invalid credentials' message,Account Access
My username isn't working and I can't sign in — please advise.,Account Access
the app crashes when i try to open settings asap please.,Technical Issue
I'm getting error code E401 on login thanks?,Technical Issue
Is there a free trial I can test first?,General Inquiry
The app crashes when I try to open settings,Technical Issue
Speed is very slow compared to my plan after the latest update.,Technical Issue
My promo code didn't apply at checkout,Billing
Forgot my 2FA and need access,Account Access
when does my billing cycle start and end? — any quick fix?,Billing
Is there a free trial I can test first?,General Inquiry
I need to verify my account to sign in asap please.,Account Access
My password isn't working and I can't sign in — any quick fix?,Account Access
Can you provide a credit note for the overcharge? thanks.,Billing
When does my billing cycle start and end? today.,Billing
Certain ports appear to be blocked on my network,Technical Issue
I want to deactivate my account today.,Account Access
Speed is very slow compared to my plan this week.,Technical Issue
The app crashes when I try to open settings after the latest update.,Technical Issue
Payment failed but the money was deducted — please advise.,Billing
I need to verify my account to sign in — please advise.,Account Access
My phone number isn't working and I can't sign in for my account.,Account Access
Please help me update my registered password since this morning.,Account Access
How can I change my email address? after the latest update.,Account Access
How do I update my card details? — please advise?,Billing
Experiencing packet loss while gaming asap please.,Technical Issue
speed is very slow compared to my plan after the latest update.,Technical Issue
Forgot my OTP and need access — any quick fix?,Account Access
High latency during video calls since yesterday this week.,Technical Issue
Is there a free trial I can test first? today.,General Inquiry
I need to verify my account to sign in — any quick fix?,Account Access
I cannot log in to my account asap please?,Account Access
i need to verify my account to sign in on my laptop and phone.,Account Access
Please issue a refund for the mistaken charge for my account.,Billing
Why does my session keep expiring so fast? after the latest update.,Account Access
When does my billing cycle start and end? — please advise.,Billing
Speed is very slow compared to my plan thanks.,Technical Issue
How do I update my card details? — please advise.,Billing
high latency during video calls since yesterday this week.,Technical Issue
How can I change my email address? for my account.,Account Access
Payment failed but the money was deducted after the latest update.,Billing
I need a tax invoice with ABN for my records thanks.,Billing
I was charged twice for my subscription thanks.,Billing
I got locked out after too many attempts,Account Access
How do I update my card details? after the latest update?,Billing
I want to deactivate my account — please advise.,Account Access
What are your customer support hours? — please advise.,General Inquiry
I need to reactivate my account,Account Access
high latency during video calls since yesterday asap please.,Technical Issue
Is there an outage in Perth? on my laptop and phone.,Technical Issue
Can I get a copy of last month's invoice? today?,Billing
Why does my session keep expiring so fast? — please advise.,Account Access
How do I update my card details? — any quick fix?,Billing
How can I change my email address? for my account.,Account Access
My invoice is incorrect for this month asap please.,Billing
How do I reset my security? today.,Account Access
Can you provide a credit note for the overcharge? — please advise?,Billing
Forgot my username and need access on my laptop and phone.,Account Access
What are the contract terms—month‑to‑month or annual? after the latest update.,General Inquiry
i want to cancel my subscription before renewal today.,Billing
Do you support international roaming? after the latest update.,General Inquiry
I need to reactivate my account today.,Account Access
do you have coverage in perth? today?,General Inquiry
How do I update my card details? — any quick fix?,Billing
i cannot log in to my account since this morning.,Account Access
I need to verify my account to sign in asap please.,Account Access
I cannot log in to my account after the latest update?,Account Access
My security isn't working and I can't sign in — please advise.,Account Access
How do I change my plan without extra charges? on my laptop and phone.,Billing
When does my billing cycle start and end? for my account.,Billing
Do you have coverage in Sydney? for my account.,General Inquiry
Can I get a copy of last month's invoice? this week.,Billing
High latency during video calls since yesterday — please advise?,Technical Issue
My promo code didn't apply at checkout — please advise.,Billing
My promo code didn't apply at checkout,Billing
Login keeps failing with an 'invalid credentials' message thanks.,Account Access
I want to know about your plans after the latest update.,General Inquiry
Please issue a refund for the mistaken charge,Billing
Please help me update my registered username — any quick fix?,Account Access
How do I update my card details? on my laptop and phone?,Billing
My phone number isn't working and I can't sign in this week.,Account Access
What are your customer support hours? thanks.,General Inquiry
Internet is not working in my area,Technical Issue
High latency during video calls since yesterday thanks?,Technical Issue
When does my billing cycle start and end? for my account.,Billing
What are your customer support hours? thanks.,General Inquiry
Do you offer a student discount? after the latest update.,General Inquiry
What are the contract terms—month‑to‑month or annual?,General Inquiry
I want to deactivate my account thanks?,Account Access
I want to know about your plans this week.,General Inquiry
I need a tax invoice with ABN for my records after the latest update.,Billing
My invoice is incorrect for this month asap please.,Billing
How long does installation usually take? — any quick fix?,General Inquiry
Do you offer a student discount? today.,General Inquiry
Pages won't load—could it be a DNS problem? today.,Technical Issue
how long does installation usually take? on my laptop and phone.,General Inquiry
Login keeps failing with an 'invalid credentials' message thanks.,Account Access
my promo code didn't apply at checkout — any quick fix?,Billing
Forgot my phone number and need access — please advise.,Account Access
When does my billing cycle start and end? today.,Billing
I'm getting error code E401 on login this week.,Technical Issue
Do you offer a student discount? — please advise.,General Inquiry
My invoice is incorrect for this month,Billing
Do you support international roaming? this week.,General Inquiry
My invoice is incorrect for this month since this morning.,Billing
What are the prices and data limits for each plan? asap please.,General Inquiry
The app crashes when I try to open settings thanks.,Technical Issue
I need a tax invoice with ABN for my records thanks?,Billing
I want to know about your plans thanks.,General Inquiry
I'm not receiving the OTP code asap please.,Account Access
When does my billing cycle start and end? — please advise.,Billing
I cannot log in to my account asap please.,Account Access
The app crashes when I try to open settings thanks.,Technical Issue
How do I update the router firmware? for my account.,Technical Issue
I need a tax invoice with ABN for my records asap please.,Billing
I'm getting error code E401 on login — any quick fix?,Technical Issue
How do I update my card details? on my laptop and phone.,Billing
What are the prices and data limits for each plan? this week.,General Inquiry
What are the contract terms—month‑to‑month or annual? — any quick fix?,General Inquiry
Certain ports appear to be blocked on my network on my laptop and phone.,Technical Issue
Is service available at my address in Gold Coast? thanks.,General Inquiry
Wi‑Fi keeps dropping on multiple devices after the latest update?,Technical Issue
My promo code didn't apply at checkout — any quick fix?,Billing
can i get a copy of last month's invoice? on my laptop and phone.,Billing
Payment failed but the money was deducted today.,Billing
How long does installation usually take? after the latest update.,General Inquiry
i want to know about your plans after the latest update.,General Inquiry
Which features are included in the standard plan?,General Inquiry
What are the prices and data limits for each plan? since this morning.,General Inquiry
Certain ports appear to be blocked on my network thanks.,Technical Issue
Internet is not working in my area today.,Technical Issue
I want to cancel my subscription before renewal on my laptop and phone.,Billing
Which features are included in the standard plan? after the latest update.,General Inquiry
What are the prices and data limits for each plan? today?,General Inquiry
Please help me update my registered OTP for my account.,Account Access
I want to know about your plans since this morning.,General Inquiry
Do you have coverage in Hobart? — please advise.,General Inquiry
when does my billing cycle start and end?,Billing
My promo code didn't apply at checkout asap please.,Billing
Which features are included in the standard plan? after the latest update.,General Inquiry
How do I reset my OTP? on my laptop and phone.,Account Access
I'm getting error code APP-19 on login?,Technical Issue
My invoice is incorrect for this month — please advise.,Billing
High latency during video calls since yesterday this week.,Technical Issue
The app crashes when I try to open settings for my account?,Technical Issue
How do I change my plan without extra charges? this week.,Billing
What are the contract terms—month‑to‑month or annual? asap please.,General Inquiry
I was charged twice for my subscription since this morning.,Billing
What are the prices and data limits for each plan? since this morning.,General Inquiry
I got locked out after too many attempts for my account.,Account Access
i got locked out after too many attempts on my laptop and phone.,Account Access
Can you provide a credit note for the overcharge? after the latest update.,Billing
Certain ports appear to be blocked on my network asap please.,Technical Issue
My username isn't working and I can't sign in today.,Account Access
I need to verify my account to sign in asap please?,Account Access
Internet is not working in my area on my laptop and phone.,Technical Issue
Is there a free trial I can test first? — any quick fix?,General Inquiry
Pages won't load—could it be a DNS problem? since this morning.,Technical Issue
I'm getting error code E403 on login,Technical Issue
Is there an outage in Darwin? thanks.,Technical Issue
login keeps failing with an 'invalid credentials' message — any quick fix?,Account Access
Can you provide a credit note for the overcharge? on my laptop and phone.,Billing
Forgot my security and need access,Account Access
Certain ports appear to be blocked on my network,Technical Issue
I need to reactivate my account since this morning.,Account Access
how do business accounts work for teams? for my account.,General Inquiry
How do I update the router firmware? thanks.,Technical Issue
i cannot log in to my account after the latest update.,Account Access
Wi‑Fi keeps dropping on multiple devices asap please.,Technical Issue
Is there a free trial I can test first? after the latest update.,General Inquiry
Pages won't load—could it be a DNS problem? this week?,Technical Issue
The app crashes when I try to open settings — any quick fix?,Technical Issue
Login keeps failing with an 'invalid credentials' message after the latest update.,Account Access
Certain ports appear to be blocked on my network after the latest update.,Technical Issue
How do I update the router firmware? on my laptop and phone.,Technical Issue
Do you support international roaming? on my laptop and phone.,General Inquiry
Forgot my 2FA and need access this week.,Account Access
i need to verify my account to sign in today.,Account Access
I'm getting error code APP-19 on login thanks?,Technical Issue
Do you have coverage in Melbourne? since this morning.,General Inquiry
How do I change my plan without extra charges? after the latest update.,Billing
Pages won't load—could it be a DNS problem? after the latest update.,Technical Issue
Do you offer a student discount? thanks.,General Inquiry
how do i change my plan without extra charges? thanks.,Billing
My phone number isn't working and I can't sign in — any quick fix?,Account Access
Is there an outage in Canberra? today.,Technical Issue
Payment failed but the money was deducted thanks?,Billing
I want to deactivate my account since this morning.,Account Access
Is there a free trial I can test first? since this morning.,General Inquiry
Login keeps failing with an 'invalid credentials' message — please advise.,Account Access
Do you offer a student discount? on my laptop and phone?,General Inquiry
How do business accounts work for teams? thanks?,General Inquiry
I need to reactivate my account — any quick fix?,Account Access
do you have coverage in canberra?,General Inquiry
Forgot my password and need access for my account.,Account Access
My invoice is incorrect for this month for my account.,Billing
I got locked out after too many attempts asap please.,Account Access
Forgot my phone number and need access this week.,Account Access
I want to deactivate my account for my account.,Account Access
My invoice is incorrect for this month — any quick fix?,Billing
How long does installation usually take? thanks.,General Inquiry
Can you provide a credit note for the overcharge? thanks.,Billing
Internet is not working in my area after the latest update?,Technical Issue
How long does installation usually take? after the latest update.,General Inquiry
Can you provide a credit note for the overcharge? this week?,Billing
Do you offer a student discount? today.,General Inquiry
I need a tax invoice with ABN for my records this week.,Billing
how do i change my plan without extra charges? for my account?,Billing
The app crashes when I try to open settings since this morning.,Technical Issue
Do you support international roaming? on my laptop and phone.,General Inquiry
How can I change my email address? thanks.,Account Access
Is there an outage in Perth? this week.,Technical Issue
I was charged twice for my subscription this week.,Billing
Certain ports appear to be blocked on my network asap please.,Technical Issue
My username isn't working and I can't sign in for my account.,Account Access
